Maskapai,Tanggal_Perjalanan,Waktu_Berangkat,Waktu_Tiba,Durasi_Penerbangan,Jumlah_Transit,Informasi_Tambahan,Jarak_Km,Harga_Tiket
Super Air Jet,6/05/2019,07:25,13:35,6h 10m,1 stop,No info,2089.2676378593396,1171686
Batik Air,21/03/2019,14:15,16:45,2h 30m,non-stop,No info,1560.6966232595826,962137
Citilink,24/05/2019,21:10,00:05 25 May,2h 55m,non-stop,No check-in baggage included,1750.1147624132104,729326
Lion Air,3/04/2019,07:10,10:05,2h 55m,non-stop,No info,1750.1147624132104,897560
Garuda Indonesia,24/06/2019,10:00,04:25 25 Jun,18h 25m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Garuda Indonesia,9/06/2019,14:05,12:35 10 Jun,22h 30m,2 stops,No info,2089.2676378593396,2583440
Transit Maskapai,6/06/2019,13:00,21:00,8h,1 stop,No info,2089.2676378593396,2528541
Garuda Indonesia,9/03/2019,00:20,04:25 10 Mar,28h 5m,1 stop,In-flight meal not included,2089.2676378593396,2204913
Batik Air,6/03/2019,10:00,23:45,13h 45m,1 stop,No info,621.4628500760243,2173276
Lion Air,18/05/2019,18:25,21:20,2h 55m,non-stop,No info,1750.1147624132104,897560
Citilink,15/04/2019,21:10,00:05 16 Apr,2h 55m,non-stop,No check-in baggage included,1750.1147624132104,729326
Sriwijaya Air,12/06/2019,17:45,20:05,2h 20m,non-stop,No info,1358.3607154263375,2229850
Garuda Indonesia,1/05/2019,09:35,18:00,8h 25m,1 stop,In-flight meal not included,1560.6966232595826,1991828
Garuda Indonesia,18/05/2019,18:55,23:35 19 May,28h 40m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,15/05/2019,18:55,19:50 16 May,24h 55m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Lion Air,27/06/2019,16:55,18:25,1h 30m,non-stop,No info,621.4628500760243,590868
Batik Air,1/06/2019,08:00,19:15,11h 15m,1 stop,No info,2089.2676378593396,1847787
Garuda Indonesia,06/03/2019,14:05,19:10,5h 5m,1 stop,No info,1739.8021018961408,3577772
Citilink,24/05/2019,05:45,07:15,1h 30m,non-stop,No info,621.4628500760243,375364
Garuda Indonesia,21/03/2019,11:40,12:15 19 Mar,24h 35m,1 stop,In-flight meal not included,1739.8021018961408,1457535
Garuda Indonesia,1/05/2019,06:30,09:20 02 May,26h 50m,1 stop,In-flight meal not included,1560.6966232595826,1798284
Transit Maskapai,9/06/2019,11:40,21:00,9h 20m,1 stop,No info,2089.2676378593396,1303630
Lion Air,12/05/2019,02:35,04:05,1h 30m,non-stop,No info,621.4628500760243,590868
Batik Air,1/04/2019,14:35,15:20 02 Apr,24h 45m,1 stop,No info,1560.6966232595826,931617
Transit Maskapai,15/06/2019,08:45,19:15,10h 30m,1 stop,No info,2089.2676378593396,1772789
Garuda Indonesia,6/06/2019,05:30,19:00,13h 30m,2 stops,No info,2089.2676378593396,2473641
Lion Air,9/05/2019,21:50,03:35 10 May,5h 45m,1 stop,No info,2089.2676378593396,1127394
Batik Air,24/06/2019,05:15,07:40 25 Jun,26h 25m,3 stops,No info,2089.2676378593396,1952747
Garuda Indonesia,9/06/2019,16:30,22:35,6h 5m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,1/04/2019,09:35,21:05,11h 30m,1 stop,No info,1560.6966232595826,2038353
Garuda Indonesia,21/05/2019,20:00,12:00 22 May,16h,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,6/06/2019,20:25,09:45 07 Jun,13h 20m,1 stop,In-flight meal not included,1560.6966232595826,1961308
Garuda Indonesia,15/06/2019,05:30,04:25 16 Jun,22h 55m,2 stops,No info,2089.2676378593396,2473641
Sriwijaya Air,18/05/2019,06:00,09:10,3h 10m,non-stop,No info,2089.2676378593396,1254500
Garuda Indonesia,6/06/2019,20:00,09:20 07 Jun,13h 20m,1 stop,No info,1560.6966232595826,2711663
Garuda Indonesia,9/05/2019,08:25,18:15,9h 50m,1 stop,No info,1560.6966232595826,2750744
Lion Air,18/05/2019,16:55,18:25,1h 30m,non-stop,No info,621.4628500760243,714252
Batik Air,18/06/2019,14:05,17:55,3h 50m,non-stop,No info,2089.2676378593396,967906
AirAsia Indonesia,9/06/2019,07:55,15:45,7h 50m,1 stop,No info,2089.2676378593396,1630050
Super Air Jet,24/04/2019,07:00,12:55,5h 55m,1 stop,No info,2089.2676378593396,1152890
Batik Air,15/03/2019,19:30,20:45,1h 15m,non-stop,No info,621.4628500760243,576910
Citilink,18/05/2019,17:55,22:50,4h 55m,1 stop,No info,2089.2676378593396,1111948
Garuda Indonesia,9/06/2019,14:05,23:35,9h 30m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,27/05/2019,20:55,04:25 28 May,7h 30m,1 stop,No info,2089.2676378593396,2992302
Citilink,27/05/2019,08:20,10:35,2h 15m,non-stop,No check-in baggage included,1358.3607154263375,659352
Citilink,3/05/2019,17:10,19:40,2h 30m,non-stop,No check-in baggage included,1560.6966232595826,714810
Garuda Indonesia,15/06/2019,19:15,12:35 16 Jun,17h 20m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Garuda Indonesia,12/06/2019,09:35,23:35,14h,1 stop,No info,1560.6966232595826,2361981
Lion Air,1/06/2019,07:55,10:15,2h 20m,non-stop,No info,1358.3607154263375,716485
Garuda Indonesia,18/05/2019,08:00,04:25 19 May,20h 25m,1 stop,In-flight meal not included,2089.2676378593396,2302615
Batik Air,21/03/2019,13:55,15:25,1h 30m,non-stop,No info,621.4628500760243,576910
Sriwijaya Air,18/05/2019,19:30,22:15,2h 45m,non-stop,No info,1750.1147624132104,907796
Garuda Indonesia,9/05/2019,19:10,19:00 10 May,23h 50m,2 stops,No info,2089.2676378593396,2815507
Transit Premium,21/03/2019,08:55,21:00,12h 5m,1 stop,No info,2089.2676378593396,1832154
Lion Air,1/05/2019,01:30,04:15,2h 45m,non-stop,No info,1750.1147624132104,758730
Transit Maskapai,21/05/2019,07:30,19:00,11h 30m,1 stop,No info,2089.2676378593396,1733522
Garuda Indonesia,9/05/2019,14:05,23:35,9h 30m,1 stop,No info,1560.6966232595826,2750744
Batik Air,6/03/2019,16:50,16:55,5m,2 stops,No info,621.4628500760243,3224555
Batik Air,09/03/2019,17:00,19:50,2h 50m,non-stop,No info,1739.8021018961408,1764414
Garuda Indonesia,27/03/2019,05:10,19:45 28 Mar,38h 35m,2 stops,In-flight meal not included,2089.2676378593396,1663362
Garuda Indonesia,9/05/2019,06:30,12:00,5h 30m,1 stop,No info,1560.6966232595826,2677607
Batik Air,21/03/2019,20:30,23:00 22 Mar,26h 30m,1 stop,No info,2089.2676378593396,1061514
Super Air Jet,9/06/2019,07:45,10:40,2h 55m,non-stop,No info,1750.1147624132104,725418
Garuda Indonesia,27/03/2019,02:55,04:25,1h 30m,non-stop,No info,621.4628500760243,1056676
Lion Air,9/03/2019,07:35,12:00,4h 25m,1 stop,No info,2089.2676378593396,1290976
Lion Air,21/03/2019,19:05,20:30,1h 25m,non-stop,No info,621.4628500760243,512519
Citilink,15/03/2019,22:45,00:10 16 Mar,1h 25m,non-stop,No check-in baggage included,621.4628500760243,492607
Lion Air,21/05/2019,06:20,10:20,4h,1 stop,No info,1560.6966232595826,786459
Super Air Jet,18/05/2019,07:45,10:40,2h 55m,non-stop,No info,1750.1147624132104,788878
Lion Air,27/06/2019,23:30,04:35 28 Jun,5h 5m,1 stop,No info,2089.2676378593396,1705606
Garuda Indonesia,01/03/2019,19:55,22:35,2h 40m,non-stop,No info,1739.8021018961408,3407119
Transit Maskapai,21/03/2019,07:05,15:30,8h 25m,1 stop,No info,2089.2676378593396,2695845
AirAsia Indonesia,9/04/2019,04:55,07:45,2h 50m,non-stop,No info,1750.1147624132104,796880
Transit Maskapai,27/06/2019,08:00,21:00,13h,1 stop,No info,2089.2676378593396,2528541
Transit Maskapai,3/06/2019,11:30,21:00,9h 30m,1 stop,No info,2089.2676378593396,2528541
Garuda Indonesia,27/03/2019,08:00,04:25 28 Mar,20h 25m,1 stop,In-flight meal not included,2089.2676378593396,1236634
Citilink,15/04/2019,05:55,08:35,2h 40m,non-stop,No info,1750.1147624132104,823120
Batik Air,18/03/2019,17:25,23:25 16 Mar,30h,2 stops,No info,1739.8021018961408,2143500
Garuda Indonesia,24/03/2019,13:55,04:45 25 Mar,14h 50m,1 stop,No info,1560.6966232595826,2560550
Citilink,18/06/2019,05:55,08:35,2h 40m,non-stop,No info,1750.1147624132104,674612
Lion Air,15/03/2019,05:30,08:20,2h 50m,non-stop,No info,1560.6966232595826,771943
Sriwijaya Air,24/04/2019,17:00,19:35,2h 35m,non-stop,No info,1750.1147624132104,1044579
Batik Air,6/05/2019,10:00,10:00 07 May,24h,2 stops,No info,1560.6966232595826,2660858
Garuda Indonesia,21/03/2019,08:00,21:20,13h 20m,1 stop,In-flight meal not included,1739.8021018961408,1457535
Lion Air,21/05/2019,08:35,18:10,9h 35m,1 stop,No info,2089.2676378593396,1198856
Garuda Indonesia,1/04/2019,02:55,04:20,1h 25m,non-stop,No info,621.4628500760243,1056676
Garuda Indonesia,1/04/2019,18:55,04:40 02 Apr,9h 45m,1 stop,In-flight meal not included,1560.6966232595826,1314610
Garuda Indonesia,18/05/2019,17:00,09:45 19 May,16h 45m,1 stop,No info,1560.6966232595826,2633501
Super Air Jet,24/06/2019,20:55,23:40,2h 45m,non-stop,No info,1750.1147624132104,636276
Garuda Indonesia,9/03/2019,17:25,04:25 10 Mar,11h,1 stop,No info,2089.2676378593396,2894599
Batik Air,18/03/2019,00:30,08:45,8h 15m,1 stop,No info,1739.8021018961408,2579160
Citilink,15/03/2019,22:20,00:40 16 Mar,2h 20m,non-stop,No info,1560.6966232595826,715927
Super Air Jet,09/03/2019,15:50,20:15,4h 25m,1 stop,No info,1739.8021018961408,1424968
Batik Air,9/05/2019,07:05,07:40 10 May,24h 35m,2 stops,No info,2089.2676378593396,2521097
Garuda Indonesia,27/05/2019,07:10,10:10,3h,non-stop,No info,1750.1147624132104,1345317
Garuda Indonesia,15/06/2019,06:45,04:25 16 Jun,21h 40m,2 stops,No info,2089.2676378593396,2489274
Lion Air,18/06/2019,20:05,21:40,1h 35m,non-stop,No info,621.4628500760243,414445
Citilink,21/06/2019,05:55,08:35,2h 40m,non-stop,No info,1750.1147624132104,739003
Lion Air,27/06/2019,09:15,01:30 28 Jun,16h 15m,1 stop,No info,2089.2676378593396,1233471
Garuda Indonesia,6/05/2019,21:10,10:05 07 May,12h 55m,1 stop,No info,1560.6966232595826,2527982
Citilink,21/03/2019,06:55,09:35,2h 40m,non-stop,No info,1560.6966232595826,771943
Garuda Indonesia,9/06/2019,06:30,18:15,11h 45m,1 stop,No info,1560.6966232595826,2711663
Citilink,21/05/2019,22:20,00:40 22 May,2h 20m,non-stop,No check-in baggage included,1560.6966232595826,714810
Garuda Indonesia,12/04/2019,06:00,08:45,2h 45m,non-stop,In-flight meal not included,1750.1147624132104,967348
AirAsia Indonesia,24/04/2019,04:55,07:45,2h 50m,non-stop,No info,1750.1147624132104,629576
Garuda Indonesia,6/06/2019,11:00,14:15,3h 15m,non-stop,In-flight meal not included,2089.2676378593396,1340292
Lion Air,3/04/2019,21:05,00:20 04 Apr,3h 15m,non-stop,No info,2089.2676378593396,934408
Super Air Jet,3/05/2019,20:55,23:40,2h 45m,non-stop,No info,1750.1147624132104,788878
Garuda Indonesia,27/05/2019,19:30,12:35 28 May,17h 5m,2 stops,No info,2089.2676378593396,2815507
Sriwijaya Air,01/03/2019,07:00,09:40,2h 40m,non-stop,No info,1739.8021018961408,4004872
Lion Air,3/03/2019,05:35,08:50,3h 15m,non-stop,No info,2089.2676378593396,1427945
Lion Air,18/06/2019,20:00,22:50,2h 50m,non-stop,No info,1750.1147624132104,897560
Garuda Indonesia,1/06/2019,07:05,19:00,11h 55m,1 stop,In-flight meal not included,2089.2676378593396,2826859
Garuda Indonesia,18/05/2019,08:25,22:35,14h 10m,1 stop,No info,1560.6966232595826,2750744
Lion Air,18/05/2019,15:30,18:05,2h 35m,non-stop,No info,1560.6966232595826,894024
Garuda Indonesia,1/06/2019,13:00,12:35 02 Jun,23h 35m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Lion Air,15/05/2019,09:15,21:00,11h 45m,1 stop,No info,2089.2676378593396,1396308
Garuda Indonesia,15/06/2019,11:10,14:05,2h 55m,non-stop,No info,1750.1147624132104,1491778
Lion Air,9/06/2019,06:25,07:55,1h 30m,non-stop,No info,621.4628500760243,753519
Batik Air,03/03/2019,05:50,12:55,7h 5m,1 stop,No info,1739.8021018961408,2305593
Citilink,12/05/2019,17:45,20:05,2h 20m,non-stop,No info,1358.3607154263375,669402
Transit Maskapai,15/05/2019,11:30,01:30 16 May,14h,1 stop,No info,2089.2676378593396,2554595
Garuda Indonesia,1/05/2019,02:55,04:20,1h 25m,non-stop,No info,621.4628500760243,1056676
Transit Maskapai,9/05/2019,10:20,21:00,10h 40m,1 stop,No info,2089.2676378593396,1427387
Garuda Indonesia,18/05/2019,14:05,23:35,9h 30m,1 stop,In-flight meal not included,1560.6966232595826,2018068
Garuda Indonesia,1/04/2019,16:30,18:15 02 Apr,25h 45m,1 stop,In-flight meal not included,1560.6966232595826,1314610
Transit Maskapai,3/06/2019,09:00,21:00,12h,1 stop,No info,2089.2676378593396,1661873
AirAsia Indonesia,1/04/2019,04:55,07:45,2h 50m,non-stop,No info,1750.1147624132104,796880
Lion Air,21/06/2019,08:30,11:20,2h 50m,non-stop,No info,1750.1147624132104,897560
Garuda Indonesia,9/05/2019,07:05,04:25 10 May,21h 20m,1 stop,In-flight meal not included,2089.2676378593396,2302615
Garuda Indonesia,09/03/2019,07:00,20:20,13h 20m,1 stop,In-flight meal not included,1739.8021018961408,2063291
Garuda Indonesia,3/06/2019,21:50,04:25 04 Jun,6h 35m,1 stop,No info,2089.2676378593396,2992302
Lion Air,12/06/2019,05:35,08:50,3h 15m,non-stop,No info,2089.2676378593396,1042346
Citilink,9/06/2019,05:45,07:15,1h 30m,non-stop,No info,621.4628500760243,512333
Garuda Indonesia,27/06/2019,22:50,04:25 28 Jun,5h 35m,1 stop,In-flight meal not included,2089.2676378593396,2400318
Transit Maskapai,6/03/2019,13:00,21:00,8h,1 stop,No info,2089.2676378593396,2903718
Lion Air,12/04/2019,09:35,12:20,2h 45m,non-stop,No info,1560.6966232595826,776781
Lion Air,24/03/2019,20:00,22:55,2h 55m,non-stop,No info,1739.8021018961408,1143398
Garuda Indonesia,6/05/2019,08:25,18:15,9h 50m,1 stop,No info,1560.6966232595826,2750744
Lion Air,15/06/2019,21:50,03:35 16 Jun,5h 45m,1 stop,No info,2089.2676378593396,1152890
Garuda Indonesia,6/05/2019,06:30,08:15 07 May,25h 45m,1 stop,In-flight meal not included,1560.6966232595826,1597855
Lion Air,01/03/2019,22:20,01:10 02 Mar,2h 50m,non-stop,No info,1739.8021018961408,2220917
Batik Air,15/05/2019,07:00,05:25 16 May,22h 25m,2 stops,No info,1560.6966232595826,2684306
Garuda Indonesia,24/06/2019,07:05,19:00,11h 55m,1 stop,No info,2089.2676378593396,3457924
Garuda Indonesia,12/05/2019,21:10,04:40 13 May,7h 30m,1 stop,No info,1560.6966232595826,2594420
Garuda Indonesia,6/05/2019,18:55,22:00,3h 5m,non-stop,No info,1750.1147624132104,1345317
Citilink,15/05/2019,06:55,09:30,2h 35m,non-stop,No info,1560.6966232595826,720765
Garuda Indonesia,12/06/2019,11:30,19:00,7h 30m,1 stop,No info,2089.2676378593396,2738275
AirAsia Indonesia,24/03/2019,15:25,22:55,7h 30m,2 stops,No info,1560.6966232595826,2092694
Lion Air,27/05/2019,11:25,01:30 28 May,14h 5m,1 stop,No info,2089.2676378593396,1135954
Lion Air,6/03/2019,07:35,22:20,14h 45m,1 stop,No info,2089.2676378593396,1320193
Garuda Indonesia,24/03/2019,06:30,04:45 25 Mar,22h 15m,1 stop,In-flight meal not included,1560.6966232595826,1866769
Garuda Indonesia,18/05/2019,05:45,12:00,6h 15m,1 stop,No info,1560.6966232595826,2594420
Transit Maskapai,24/06/2019,19:00,01:30 25 Jun,6h 30m,1 stop,No info,2089.2676378593396,1339548
Citilink,24/03/2019,09:35,12:30,2h 55m,non-stop,No check-in baggage included,1739.8021018961408,720765
Batik Air,12/03/2019,14:15,16:45,2h 30m,non-stop,No info,1560.6966232595826,1069517
Batik Air,15/06/2019,19:30,20:45,1h 15m,non-stop,No info,621.4628500760243,576910
Batik Air,6/05/2019,09:10,13:15,4h 5m,1 stop,No info,1560.6966232595826,1674156
Transit Maskapai,15/05/2019,10:35,19:00,8h 25m,1 stop,No info,2089.2676378593396,1694068
Garuda Indonesia,01/03/2019,18:40,09:30 02 Mar,14h 50m,1 stop,1 Long layover,1739.8021018961408,5922632
Garuda Indonesia,15/05/2019,16:30,10:05 16 May,17h 35m,1 stop,No info,1560.6966232595826,2750744
Garuda Indonesia,18/05/2019,08:20,11:20,3h,non-stop,No info,1750.1147624132104,1345317
Lion Air,01/03/2019,23:30,02:20 02 Mar,2h 50m,non-stop,No info,1739.8021018961408,1873469
Garuda Indonesia,9/04/2019,09:40,04:25 10 Apr,18h 45m,2 stops,No info,2089.2676378593396,2030165
Lion Air,27/04/2019,15:30,18:05,2h 35m,non-stop,No info,1560.6966232595826,894024
Garuda Indonesia,1/06/2019,02:55,04:20,1h 25m,non-stop,In-flight meal not included,621.4628500760243,753705
Garuda Indonesia,15/05/2019,20:25,23:35 16 May,27h 10m,1 stop,No info,1560.6966232595826,2633501
Citilink,1/06/2019,06:55,09:30,2h 35m,non-stop,No check-in baggage included,1560.6966232595826,714810
Garuda Indonesia,9/05/2019,14:05,19:50,5h 45m,1 stop,No info,1560.6966232595826,2750744
Sriwijaya Air,9/06/2019,17:00,23:25,6h 25m,1 stop,No info,1560.6966232595826,1836807
Batik Air,27/05/2019,13:30,23:00,9h 30m,1 stop,No info,2089.2676378593396,1657593
Garuda Indonesia,01/03/2019,22:50,07:40 02 Mar,8h 50m,1 stop,No info,1739.8021018961408,5004229
Super Air Jet,15/04/2019,07:00,12:55,5h 55m,1 stop,No info,2089.2676378593396,1152890
Garuda Indonesia,21/03/2019,14:05,19:10,5h 5m,1 stop,In-flight meal not included,1739.8021018961408,1457535
Transit Premium,21/03/2019,08:55,15:30,6h 35m,1 stop,No info,2089.2676378593396,2097161
Sriwijaya Air,24/03/2019,16:00,18:35,2h 35m,non-stop,No info,1739.8021018961408,1044579
Lion Air,1/05/2019,00:30,03:25,2h 55m,non-stop,No info,1750.1147624132104,797252
Sriwijaya Air,6/05/2019,21:00,23:50,2h 50m,non-stop,No info,1750.1147624132104,868715
Batik Air,3/03/2019,08:00,19:15,11h 15m,1 stop,No info,2089.2676378593396,2828162
Garuda Indonesia,12/06/2019,08:25,16:20,7h 55m,1 stop,In-flight meal not included,1560.6966232595826,1842204
Super Air Jet,27/06/2019,10:35,19:35,9h,1 stop,No info,2089.2676378593396,734723
Garuda Indonesia,15/03/2019,08:55,08:15 16 Mar,23h 20m,1 stop,In-flight meal not included,1739.8021018961408,1936370
Transit Maskapai,9/06/2019,11:35,01:30 10 Jun,13h 55m,3 stops,No info,2089.2676378593396,2869476
Transit Maskapai,3/03/2019,08:25,18:50,10h 25m,1 stop,No info,2089.2676378593396,2816624
Transit Premium,21/03/2019,06:00,12:35,6h 35m,1 stop,No info,2089.2676378593396,2487971
Garuda Indonesia,27/06/2019,11:40,19:00,7h 20m,2 stops,No info,2089.2676378593396,3499424
AirAsia Indonesia,9/05/2019,20:45,07:10 10 May,10h 25m,1 stop,No info,2089.2676378593396,1256361
Batik Air,9/05/2019,20:30,08:55 10 May,12h 25m,1 stop,No info,1560.6966232595826,1898778
Garuda Indonesia,01/03/2019,07:00,21:20,14h 20m,1 stop,No info,1739.8021018961408,5209311
Batik Air,12/06/2019,07:10,19:15,12h 5m,2 stops,No info,2089.2676378593396,2324017
Garuda Indonesia,12/04/2019,07:10,10:10,3h,non-stop,In-flight meal not included,1750.1147624132104,967348
Garuda Indonesia,1/05/2019,17:45,20:45,3h,non-stop,No info,1750.1147624132104,1345317
Batik Air,12/06/2019,05:50,23:15,17h 25m,2 stops,No info,1560.6966232595826,2367750
Batik Air,6/03/2019,06:00,09:10 07 Mar,27h 10m,2 stops,No info,621.4628500760243,2450751
Batik Air,15/05/2019,09:25,18:20,8h 55m,2 stops,No info,1560.6966232595826,1556913
Transit Maskapai,9/05/2019,06:00,21:00,15h,1 stop,No info,2089.2676378593396,1427387
Garuda Indonesia,1/04/2019,06:00,08:45,2h 45m,non-stop,No info,1750.1147624132104,1345317
Sriwijaya Air,1/06/2019,21:00,23:50,2h 50m,non-stop,No info,1750.1147624132104,868715
AirAsia Indonesia,9/03/2019,20:10,07:10 10 Mar,11h,1 stop,No info,2089.2676378593396,1549655
Garuda Indonesia,21/05/2019,20:55,12:35 22 May,15h 40m,1 stop,In-flight meal not included,2089.2676378593396,2400318
Lion Air,6/05/2019,06:20,10:20,4h,1 stop,No info,1560.6966232595826,786459
Garuda Indonesia,27/06/2019,19:15,19:00 28 Jun,23h 45m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Transit Maskapai,24/06/2019,04:55,19:00,14h 5m,1 stop,No info,2089.2676378593396,1987176
Batik Air,21/03/2019,17:15,07:40 22 Mar,14h 25m,2 stops,No info,2089.2676378593396,1498477
Super Air Jet,24/03/2019,11:40,14:35,2h 55m,non-stop,No info,1739.8021018961408,725418
AirAsia Indonesia,12/06/2019,10:20,12:55,2h 35m,non-stop,No info,1560.6966232595826,708483
Lion Air,3/06/2019,09:15,21:00,11h 45m,1 stop,No info,2089.2676378593396,1272552
Garuda Indonesia,24/06/2019,05:30,19:00,13h 30m,2 stops,No info,2089.2676378593396,2421905
Lion Air,12/04/2019,14:25,16:55,2h 30m,non-stop,No info,1560.6966232595826,972186
Transit Maskapai,6/06/2019,13:00,01:30 07 Jun,12h 30m,1 stop,No info,2089.2676378593396,2489460
Super Air Jet,21/05/2019,07:00,12:55,5h 55m,1 stop,No info,2089.2676378593396,1234401
AirAsia Indonesia,24/05/2019,07:35,23:30,15h 55m,1 stop,No info,1560.6966232595826,966231
Lion Air,18/04/2019,22:10,01:00 19 Apr,2h 50m,non-stop,No info,1750.1147624132104,854385
Batik Air,12/05/2019,20:45,23:20,2h 35m,non-stop,No info,1560.6966232595826,908168
Garuda Indonesia,27/04/2019,17:45,20:45,3h,non-stop,No info,1750.1147624132104,1345317
Garuda Indonesia,9/05/2019,19:45,04:25 10 May,8h 40m,1 stop,In-flight meal not included,2089.2676378593396,2302615
Batik Air,27/04/2019,14:10,17:10,3h,non-stop,No info,2089.2676378593396,1134093
Garuda Indonesia,12/06/2019,20:55,12:35 13 Jun,15h 40m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Garuda Indonesia,9/04/2019,11:40,19:00,7h 20m,2 stops,No info,2089.2676378593396,2873198
Lion Air,6/05/2019,23:30,02:20 07 May,2h 50m,non-stop,No info,1750.1147624132104,758730
Super Air Jet,18/05/2019,20:55,23:40,2h 45m,non-stop,No info,1750.1147624132104,862015
Garuda Indonesia,6/06/2019,09:35,18:00,8h 25m,1 stop,No info,1560.6966232595826,2361981
Lion Air,24/04/2019,19:20,23:45,4h 25m,1 stop,No info,1560.6966232595826,647628
Transit Maskapai,18/05/2019,17:50,01:30 19 May,7h 40m,2 stops,No info,2089.2676378593396,3602896
Garuda Indonesia,15/03/2019,11:40,08:15 16 Mar,20h 35m,1 stop,In-flight meal not included,1739.8021018961408,1699837
Transit Maskapai,24/06/2019,14:00,21:00,7h,1 stop,No info,2089.2676378593396,2528541
Garuda Indonesia,9/05/2019,17:30,19:00 10 May,25h 30m,1 stop,No info,2089.2676378593396,2894599
Garuda Indonesia,09/03/2019,19:55,22:35,2h 40m,non-stop,No info,1739.8021018961408,1345317
Lion Air,6/03/2019,08:35,22:20,13h 45m,1 stop,No info,2089.2676378593396,1398355
Transit Maskapai,6/06/2019,08:00,21:00,13h,1 stop,No info,2089.2676378593396,2528541
Garuda Indonesia,9/06/2019,07:10,10:10,3h,non-stop,In-flight meal not included,1750.1147624132104,1345317
Garuda Indonesia,1/06/2019,02:15,04:25 02 Jun,26h 10m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Lion Air,3/03/2019,07:30,21:00,13h 30m,1 stop,No info,2089.2676378593396,2767493
Transit Maskapai,27/05/2019,08:45,19:00,10h 15m,1 stop,No info,2089.2676378593396,1959447
Lion Air,12/06/2019,07:35,22:30,14h 55m,1 stop,No info,2089.2676378593396,1198856
Lion Air,21/05/2019,15:15,20:05,4h 50m,1 stop,No info,1560.6966232595826,962137
Lion Air,15/05/2019,07:35,22:30,14h 55m,1 stop,No info,2089.2676378593396,1198856
Lion Air,27/05/2019,00:30,03:25,2h 55m,non-stop,No info,1750.1147624132104,636276
Garuda Indonesia,06/03/2019,20:35,10:25 07 Mar,13h 50m,1 stop,No info,1739.8021018961408,3212272
Citilink,24/06/2019,08:20,10:35,2h 15m,non-stop,No check-in baggage included,1358.3607154263375,659352
AirAsia Indonesia,12/05/2019,11:10,13:55,2h 45m,non-stop,No info,1750.1147624132104,629576
Batik Air,24/06/2019,22:00,19:15 25 Jun,21h 15m,2 stops,No info,2089.2676378593396,1708584
Garuda Indonesia,12/03/2019,18:55,11:25 13 Mar,16h 30m,1 stop,In-flight meal not included,1739.8021018961408,2063291
Garuda Indonesia,18/04/2019,07:10,10:10,3h,non-stop,No info,1750.1147624132104,1345317
Transit Maskapai,9/03/2019,04:45,19:15,14h 30m,1 stop,No info,2089.2676378593396,2093439
Garuda Indonesia,06/03/2019,07:00,23:00,16h,1 stop,No info,1739.8021018961408,3114570
Garuda Indonesia,24/06/2019,17:30,04:25 25 Jun,10h 55m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Garuda Indonesia,1/06/2019,14:00,19:00,5h,1 stop,In-flight meal not included,2089.2676378593396,1909758
Garuda Indonesia,15/05/2019,02:55,04:20,1h 25m,non-stop,No info,621.4628500760243,1056676
Transit Maskapai,21/03/2019,09:00,15:30,6h 30m,1 stop,No info,2089.2676378593396,1545933
Batik Air,18/05/2019,17:20,09:25 19 May,16h 5m,1 stop,No info,2089.2676378593396,1431109
Garuda Indonesia,18/05/2019,13:25,12:35 19 May,23h 10m,2 stops,No info,2089.2676378593396,3108614
Batik Air,9/03/2019,04:00,07:40 10 Mar,27h 40m,1 stop,No info,2089.2676378593396,1919622
Garuda Indonesia,27/05/2019,09:40,12:35 28 May,26h 55m,2 stops,No info,2089.2676378593396,2815507
Batik Air,24/03/2019,07:00,08:55 25 Mar,25h 55m,1 stop,No info,1560.6966232595826,2265395
Batik Air,3/04/2019,19:00,11:05 04 Apr,16h 5m,1 stop,No info,1560.6966232595826,786645
Lion Air,12/06/2019,06:05,08:50,2h 45m,non-stop,No info,1750.1147624132104,733792
Garuda Indonesia,1/06/2019,11:10,14:05,2h 55m,non-stop,In-flight meal not included,1750.1147624132104,1345317
Sriwijaya Air,15/05/2019,07:10,20:20,13h 10m,1 stop,No info,1560.6966232595826,1602321
Lion Air,09/03/2019,07:10,10:05,2h 55m,non-stop,No info,1739.8021018961408,1359088
Garuda Indonesia,18/03/2019,18:40,07:40 16 Mar,13h,1 stop,In-flight meal not included,1739.8021018961408,2041889
Transit Maskapai,18/05/2019,10:20,21:00,10h 40m,1 stop,No info,2089.2676378593396,1427387
Batik Air,15/05/2019,10:00,19:15,9h 15m,1 stop,No info,2089.2676378593396,1558029
Lion Air,1/06/2019,15:00,01:30 02 Jun,10h 30m,1 stop,No info,2089.2676378593396,1233471
